bitmask,features,k,accuracy,scores,timestamp
3,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'correlation_0', 'correlation_1',
       'correlation_2', 'correlation_3'],
      dtype='object')",59,0.7300796195287597,[0.68844985 0.71232877 0.75038052 0.7412481  0.75799087],2024-05-29 01:02:17.400403
5,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'dissimilarity_0',
       'dissimilarity_1', 'dissimilarity_2', 'dissimilarity_3'],
      dtype='object')",82,0.7230780974587445,[0.68844985 0.70471842 0.73972603 0.72450533 0.75799087],2024-05-29 01:04:55.849844
6,"Index(['correlation_0', 'correlation_1', 'correlation_2', 'correlation_3',
       'dissimilarity_0', 'dissimilarity_1', 'dissimilarity_2',
       'dissimilarity_3'],
      dtype='object')",108,0.7291668401548902,[0.68693009 0.70928463 0.73972603 0.73972603 0.77016743],2024-05-29 01:07:41.169068
7,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'correlation_0', 'correlation_1',
       'correlation_2', 'correlation_3', 'dissimilarity_0', 'dissimilarity_1',
       'dissimilarity_2', 'dissimilarity_3'],
      dtype='object')",120,0.7297761307962416,[0.68541033 0.71232877 0.73820396 0.74581431 0.76712329],2024-05-29 01:10:47.289905
9,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'homogeneity_0', 'homogeneity_1',
       'homogeneity_2', 'homogeneity_3'],
      dtype='object')",69,0.7224674189116043,[0.69452888 0.70776256 0.72907154 0.74429224 0.73668189],2024-05-29 01:13:27.022417
10,"Index(['correlation_0', 'correlation_1', 'correlation_2', 'correlation_3',
       'homogeneity_0', 'homogeneity_1', 'homogeneity_2', 'homogeneity_3'],
      dtype='object')",94,0.7285580121488019,[0.68693009 0.71537291 0.73820396 0.73972603 0.76255708],2024-05-29 01:16:14.686659
11,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'correlation_0', 'correlation_1',
       'correlation_2', 'correlation_3', 'homogeneity_0', 'homogeneity_1',
       'homogeneity_2', 'homogeneity_3'],
      dtype='object')",160,0.7276433822338807,[0.69148936 0.70319635 0.74277017 0.74429224 0.7564688 ],2024-05-29 01:19:25.521408
12,"Index(['dissimilarity_0', 'dissimilarity_1', 'dissimilarity_2',
       'dissimilarity_3', 'homogeneity_0', 'homogeneity_1', 'homogeneity_2',
       'homogeneity_3'],
      dtype='object')",66,0.724295290835658,[0.6899696  0.70624049 0.73059361 0.73211568 0.76255708],2024-05-29 01:22:04.465838
13,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'dissimilarity_0',
       'dissimilarity_1', 'dissimilarity_2', 'dissimilarity_3',
       'homogeneity_0', 'homogeneity_1', 'homogeneity_2', 'homogeneity_3'],
      dtype='object')",42,0.7273385055955736,[0.69300912 0.70319635 0.74885845 0.74277017 0.74885845],2024-05-29 01:25:06.903520
14,"Index(['correlation_0', 'correlation_1', 'correlation_2', 'correlation_3',
       'dissimilarity_0', 'dissimilarity_1', 'dissimilarity_2',
       'dissimilarity_3', 'homogeneity_0', 'homogeneity_1', 'homogeneity_2',
       'homogeneity_3'],
      dtype='object')",63,0.7276438448691437,[0.6899696  0.72450533 0.73668189 0.73515982 0.75190259],2024-05-29 01:28:14.159299
15,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'correlation_0', 'correlation_1',
       'correlation_2', 'correlation_3', 'dissimilarity_0', 'dissimilarity_1',
       'dissimilarity_2', 'dissimilarity_3', 'homogeneity_0', 'homogeneity_1',
       'homogeneity_2', 'homogeneity_3'],
      dtype='object')",60,0.7300814700698117,[0.68237082 0.72450533 0.75038052 0.74277017 0.75038052],2024-05-29 01:30:32.738740
17,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'contrast_0', 'contrast_1',
       'contrast_2', 'contrast_3'],
      dtype='object')",96,0.7203397593371361,[0.68389058 0.69863014 0.7412481  0.73211568 0.74581431],2024-05-29 01:33:14.304775
18,"Index(['correlation_0', 'correlation_1', 'correlation_2', 'correlation_3',
       'contrast_0', 'contrast_1', 'contrast_2', 'contrast_3'],
      dtype='object')",75,0.7282540607810208,[0.68541033 0.71232877 0.73972603 0.74733638 0.7564688 ],2024-05-29 01:35:59.829346
19,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'correlation_0', 'correlation_1',
       'correlation_2', 'correlation_3', 'contrast_0', 'contrast_1',
       'contrast_2', 'contrast_3'],
      dtype='object')",63,0.7288619635165832,[0.68844985 0.71232877 0.73820396 0.73972603 0.76560122],2024-05-29 01:39:07.262067
20,"Index(['dissimilarity_0', 'dissimilarity_1', 'dissimilarity_2',
       'dissimilarity_3', 'contrast_0', 'contrast_1', 'contrast_2',
       'contrast_3'],
      dtype='object')",79,0.7215546395377349,[0.69300912 0.70167428 0.73059361 0.72298326 0.75951294],2024-05-29 01:41:41.507280
